id,svenska,ordklass,förklaring_sv,kort_förklaring_sv,suomeksi,område,källa_url
98,bli till,verb,"bli till är ett verb som beskriver en akademisk, pedagogisk eller konstnärlig handling. Det betonar hur den som arbetar påverkar vad som kan bli synligt, begripligt eller möjligt att diskutera. Inom posthumanistisk, nymaterialistisk och relationell forskning kopplas verbet till relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Beskriver en akademisk handling.,tulla joksikin,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
99,trassla till,verb,"Att trassla till är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver en akademisk handling.,sotkea / kietoa,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
100,omförhandla,verb,"När man säger att man ska omförhandla handlar det om att pröva, ordna, läsa, förändra, synliggöra eller kommunicera något på ett metodiskt sätt. Ordet är användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Det hjälper att beskriva hur arbetet faktiskt går till.",Beskriver en akademisk handling.,neuvotella uudelleen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
101,destabilisera,verb,"När man säger att man ska destabilisera handlar det om att pröva, ordna, läsa, förändra, synliggöra eller kommunicera något på ett metodiskt sätt. Ordet är användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Det hjälper att beskriva hur arbetet faktiskt går till.",Beskriver en akademisk handling.,horjuttaa,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
102,problematisera människan,verb,"Att problematisera människan är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver en akademisk handling.,problematisoida ihminen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
103,kartlägga relationer,verb,"kartlägga relationer är ett verb som beskriver en akademisk, pedagogisk eller konstnärlig handling. Det betonar hur den som arbetar påverkar vad som kan bli synligt, begripligt eller möjligt att diskutera. Inom posthumanistisk, nymaterialistisk och relationell forskning kopplas verbet till relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Beskriver en akademisk handling.,kartoittaa suhteita,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
104,följa aktörer,verb,"I akademiska texter används följa aktörer för att beskriva vad man gör när man utvecklar en fråga, bearbetar material eller kommunicerar ett resultat. Det hör särskilt hemma i posthumanistisk, nymaterialistisk och relationell forskning, där processen ofta är lika viktig som slutsatsen.",Handlar om förmåga att påverka.,seurata toimijoita,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
105,spåra kopplingar,verb,"Att spåra kopplingar är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver en akademisk handling.,jäljittää kytköksiä,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
106,upplösa dikotomier,verb,"Verbet upplösa dikotomier används när forskaren, läraren eller studenten aktivt gör något med ett material, en teori, en bild eller en situation. Det markerar att analys och kunskapande är processer som sker steg för steg. I posthumanistisk, nymaterialistisk och relationell forskning kopplas handlingen ofta till relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Beskriver en akademisk handling.,purkaa dikotomioita,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
107,göra snitt,verb,"I akademiska texter används göra snitt för att beskriva vad man gör när man utvecklar en fråga, bearbetar material eller kommunicerar ett resultat. Det hör särskilt hemma i posthumanistisk, nymaterialistisk och relationell forskning, där processen ofta är lika viktig som slutsatsen.",Markerar hur något avgränsas analytiskt.,tehdä leikkauksia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
108,läsa diffraktivt,verb,"läsa diffraktivt är ett verb som beskriver en akademisk, pedagogisk eller konstnärlig handling. Det betonar hur den som arbetar påverkar vad som kan bli synligt, begripligt eller möjligt att diskutera. Inom posthumanistisk, nymaterialistisk och relationell forskning kopplas verbet till relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Läser skillnader genom varandra.,lukea diffraktiivisesti,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
109,världsgöra,verb,"I akademiska texter används världsgöra för att beskriva vad man gör när man utvecklar en fråga, bearbetar material eller kommunicerar ett resultat. Det hör särskilt hemma i posthumanistisk, nymaterialistisk och relationell forskning, där processen ofta är lika viktig som slutsatsen.",Beskriver en akademisk handling.,maailmoittaa / tehdä maailmaa,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
110,svara an,verb,"Att svara an betyder här att utföra en medveten forsknings-, tolknings- eller undervisningshandling. Verbet beskriver en process snarare än ett färdigt resultat. Inom posthumanistisk, nymaterialistisk och relationell forskning används det för att visa hur kunskap, analys och material formas genom konkreta val.",Beskriver en akademisk handling.,vastata vastuullisesti,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
111,tänka med,verb,"Att tänka med betyder här att utföra en medveten forsknings-, tolknings- eller undervisningshandling. Verbet beskriver en process snarare än ett färdigt resultat. Inom posthumanistisk, nymaterialistisk och relationell forskning används det för att visa hur kunskap, analys och material formas genom konkreta val.",Beskriver en akademisk handling.,ajatella kanssa,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
112,tänka genom,verb,"Att tänka genom är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver en akademisk handling.,ajatella läpi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
113,bli med,verb,"I akademiska texter används bli med för att beskriva vad man gör när man utvecklar en fråga, bearbetar material eller kommunicerar ett resultat. Det hör särskilt hemma i posthumanistisk, nymaterialistisk och relationell forskning, där processen ofta är lika viktig som slutsatsen.",Beskriver en akademisk handling.,tulla kanssa,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
114,samproducera,verb,"Att samproducera är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver en akademisk handling.,yhteistuottaa,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
115,förskjuta fokus,verb,"När man säger att man ska förskjuta fokus handlar det om att pröva, ordna, läsa, förändra, synliggöra eller kommunicera något på ett metodiskt sätt. Ordet är användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Det hjälper att beskriva hur arbetet faktiskt går till.",Beskriver en akademisk handling.,siirtää fokusta,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
116,synliggöra materialitet,verb,"Att synliggöra materialitet är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Lyfter materialens betydelse i kunskap.,tehdä materiaalisuus näkyväksi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
117,aktivera materia,verb,"Verbet aktivera materia används när forskaren, läraren eller studenten aktivt gör något med ett material, en teori, en bild eller en situation. Det markerar att analys och kunskapande är processer som sker steg för steg. I posthumanistisk, nymaterialistisk och relationell forskning kopplas handlingen ofta till relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Beskriver en akademisk handling.,aktivoida materia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
118,undersöka blivanden,verb,"Att undersöka blivanden är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Betonar processer och förändring.,tutkia tulemisia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
119,förnimma relationer,verb,"Att förnimma relationer är att ingripa i ett material eller en situation genom språk, metod, tolkning, samtal eller gestaltning. Verbet hjälper att beskriva forskarens, lärarens eller konstnärens arbete som aktivt, situerat och ansvarigt. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver en akademisk handling.,aistia suhteita,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
120,postkvalitativ forskning,substantiv,"När man talar om postkvalitativ forskning talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Utmanar traditionell kvalitativ metod.,postkvalitatiivinen tutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
121,kvalitativ forskning,substantiv,"kvalitativ forskning betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,laadullinen tutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
122,forskningsdesign,substantiv,"När man talar om forskningsdesign talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Begrepp för forskningsprocessens arbete.,tutkimusasetelma,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
123,forskningsfråga,substantiv,"forskningsfråga betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Formulerar vad studien undersöker.,tutkimuskysymys,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
124,empiri,substantiv,"När man talar om empiri talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Avser material som undersöks.,empiirinen aineisto,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
125,material,substantiv,"material betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,aineisto / materiaali,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
126,fältarbete,substantiv,"Som forskningsbegrepp pekar fältarbete på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I forskningsmetod, metodologi och analysarbete riktas uppmärksamheten särskilt mot hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Plats där forskning blir till.,kenttätyö,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
127,fältanteckning,substantiv,"Som forskningsbegrepp pekar fältanteckning på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I forskningsmetod, metodologi och analysarbete riktas uppmärksamheten särskilt mot hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Plats där forskning blir till.,kenttämuistiinpano,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
128,intervju,substantiv,"När man talar om intervju talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Samtal för att samla forskningsmaterial.,haastattelu,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
129,samtal,substantiv,"samtal betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,keskustelu,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
130,observation,substantiv,"observation är ett centralt substantiv inom forskningsmetod, metodologi och analysarbete. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Systematiskt seende i en situation.,havainnointi,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
131,deltagande observation,substantiv,"deltagande observation betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Systematiskt seende i en situation.,osallistuva havainnointi,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
132,etnografi,substantiv,"Som forskningsbegrepp pekar etnografi på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I forskningsmetod, metodologi och analysarbete riktas uppmärksamheten särskilt mot hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Begrepp för forskningsprocessens arbete.,etnografia,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
133,autoetnografi,substantiv,"autoetnografi är ett centralt substantiv inom forskningsmetod, metodologi och analysarbete. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,autoetnografia,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
134,a/r/tografi,substantiv,"Med a/r/tografi avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I forskningsmetod, metodologi och analysarbete används ordet för att uppmärksamma hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt. Det ger forskaren ett språk för att ställa mer precisa frågor.",Begrepp för forskningsprocessens arbete.,a/r/tografia,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
135,praktikbaserad forskning,substantiv,"Som forskningsbegrepp pekar praktikbaserad forskning på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I forskningsmetod, metodologi och analysarbete riktas uppmärksamheten särskilt mot hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Betonar handling i konkreta sammanhang.,käytäntöpohjainen tutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
136,praktikledd forskning,substantiv,"Med praktikledd forskning avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I forskningsmetod, metodologi och analysarbete används ordet för att uppmärksamma hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt. Det ger forskaren ett språk för att ställa mer precisa frågor.",Betonar handling i konkreta sammanhang.,käytäntöjohtoinen tutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
137,konstbaserad forskning,substantiv,"Som forskningsbegrepp pekar konstbaserad forskning på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I forskningsmetod, metodologi och analysarbete riktas uppmärksamheten särskilt mot hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Rör konstnärlig form och betydelse.,taideperustainen tutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
138,konstnärlig forskning,substantiv,"konstnärlig forskning är ett centralt substantiv inom forskningsmetod, metodologi och analysarbete. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Rör konstnärlig form och betydelse.,taiteellinen tutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
139,aktionsforskning,substantiv,"aktionsforskning är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I forskningsmetod, metodologi och analysarbete används termen för att analysera hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,toimintatutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
140,designbaserad forskning,substantiv,"När man talar om designbaserad forskning talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Begrepp för forskningsprocessens arbete.,designperustainen tutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
141,fallstudie,substantiv,"fallstudie är ett centralt substantiv inom forskningsmetod, metodologi och analysarbete. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,tapaustutkimus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
142,diskursanalys,substantiv,"Med diskursanalys avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I forskningsmetod, metodologi och analysarbete används ordet för att uppmärksamma hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt. Det ger forskaren ett språk för att ställa mer precisa frågor.",Visar hur språk formar betydelser.,diskurssianalyysi,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
143,narrativ analys,substantiv,"När man talar om narrativ analys talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Gör material begripligt genom tolkning.,narratiivinen analyysi,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
144,tematisk analys,substantiv,"tematisk analys är ett centralt substantiv inom forskningsmetod, metodologi och analysarbete. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Gör material begripligt genom tolkning.,temaattinen analyysi,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
145,fenomenologi,substantiv,"Med fenomenologi avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I forskningsmetod, metodologi och analysarbete används ordet för att uppmärksamma hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt. Det ger forskaren ett språk för att ställa mer precisa frågor.",Namn för det som undersöks.,fenomenologia,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
146,hermeneutik,substantiv,"hermeneutik betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Handlar om att förstå mening.,hermeneutiikka,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
147,genealogi,substantiv,"genealogi är ett centralt substantiv inom forskningsmetod, metodologi och analysarbete. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,genealogia,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
148,arkeologi,substantiv,"arkeologi betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,arkeologia,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
149,dekonstuktion,substantiv,"dekonstuktion betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i forskningsmetod, metodologi och analysarbete och används när ett forskningsprojekt planeras, genomförs, dokumenteras och tolkas. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Rör konstnärlig form och betydelse.,dekonstruktio,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
150,kritisk läsning,substantiv,"kritisk läsning är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I forskningsmetod, metodologi och analysarbete används termen för att analysera hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt. Begreppet gör det lättare att beskriva vad forskaren faktiskt gör och vilka val som formar resultatet.",Begrepp för forskningsprocessens arbete.,kriittinen luenta,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
151,närläsning,substantiv,"När man talar om närläsning talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Begrepp för forskningsprocessens arbete.,lähiluku,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
152,begreppsanalys,substantiv,"När man talar om begreppsanalys talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i forskningsmetod, metodologi och analysarbete, där man ofta behöver beskriva hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Gör material begripligt genom tolkning.,käsiteanalyysi,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
153,kartläggning,substantiv,"Som forskningsbegrepp pekar kartläggning på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I forskningsmetod, metodologi och analysarbete riktas uppmärksamheten särskilt mot hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Begrepp för forskningsprocessens arbete.,kartoitus,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
154,mapping,substantiv,"Med mapping avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I forskningsmetod, metodologi och analysarbete används ordet för att uppmärksamma hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt. Det ger forskaren ett språk för att ställa mer precisa frågor.",Begrepp för forskningsprocessens arbete.,kartoitus / mapping,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
155,patchwork,substantiv,"Som forskningsbegrepp pekar patchwork på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I forskningsmetod, metodologi och analysarbete riktas uppmärksamheten särskilt mot hur material samlas in, bearbetas, läses, analyseras och görs trovärdigt.",Begrepp för forskningsprocessens arbete.,tilkkutäkki / patchwork,forskningsmetod och metodologi,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A1788345
